City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,alice springs,-23.7,133.8833,15.75,72,100,8.75,AU,1702176315
298,fortuna,40.5982,-124.1573,7.03,92,0,0.0,US,1702176367
299,port alfred,-33.5906,26.891,13.99,94,97,0.45,ZA,1702176286
300,idabel,33.8957,-94.8263,11.79,49,20,5.66,US,1702176588
301,pamandzi,-12.7967,45.2794,27.88,83,75,4.63,YT,1702176588
302,undurkhaan,47.3194,110.6556,-22.86,83,100,0.5,MN,1702176588
303,vila velha,-20.3297,-40.2925,22.97,91,75,4.12,BR,1702176296
304,acarau,-2.8856,-40.12,26.8,76,76,7.44,BR,1702176588
305,ambon,-3.6954,128.1814,30.08,74,40,2.06,ID,1702176433
306,wilmington,34.2257,-77.9447,18.95,92,75,2.57,US,1702176588
307,colachel,8.1667,77.25,27.27,77,100,2.29,IN,1702176588
308,north battleford,52.7834,-108.2847,-5.33,86,0,3.09,CA,1702176411
309,nar'yan-mar,67.6713,53.087,-27.16,92,12,2.68,RU,1702176588
310,kindu,-2.95,25.95,20.59,100,98,0.92,CD,1702176589
311,igarka,67.4667,86.5833,-41.49,100,83,1.86,RU,1702176375
312,barda,40.3744,47.1267,8.46,80,100,2.34,AZ,1702176589
313,east london,-33.0153,27.9116,15.8,88,100,3.93,ZA,1702176306
314,sao gabriel da cachoeira,-0.1303,-67.0892,23.37,99,100,0.27,BR,1702176589
315,constantia,44.1833,28.65,-1.62,87,74,4.34,RO,1702176264
316,ain sukhna,29.6002,32.3167,13.94,60,3,0.64,EG,1702176589
317,bada,51.392,109.8717,-20.48,77,23,2.86,RU,1702176589
318,lagoa,39.05,-27.9833,17.47,86,100,12.27,PT,1702176589
319,arkhangel'sk,64.5401,40.5433,-19.93,70,0,5.0,RU,1702176589
320,praia da vitoria,38.7333,-27.0667,19.14,82,40,9.7,PT,1702176354
321,altay,47.8667,88.1167,-14.79,84,97,1.57,CN,1702176355
322,hithadhoo,-0.6,73.0833,28.04,76,100,1.68,MV,1702176330
323,nova vicosa,-17.8919,-39.3719,24.53,86,76,1.9,BR,1702176590
324,prado,-17.3411,-39.2208,23.83,91,32,1.56,BR,1702176590
325,lake munmorah,-33.1936,151.5719,29.76,77,60,1.79,AU,1702176590
326,tumayr,25.7039,45.868,15.91,27,8,3.17,SA,1702176590
327,dudinka,69.4058,86.1778,-31.85,96,99,1.34,RU,1702176590
328,south hedland,-20.4089,118.5983,31.96,23,5,8.23,AU,1702176590
329,penalva,-3.2942,-45.1736,25.24,87,78,1.83,BR,1702176590
330,carnarvon,-24.8667,113.6333,31.74,28,0,8.42,AU,1702176590
331,rongelap,11.1635,166.8941,27.56,73,84,7.62,MH,1702176590
332,eldridge,41.6581,-90.5846,0.9,81,100,9.77,US,1702176590
333,tralee,52.2704,-9.7026,6.96,95,90,3.45,IE,1702176336
334,mammoth lakes,37.6485,-118.9721,-0.37,52,0,0.0,US,1702176408
335,sao jose da coroa grande,-8.8978,-35.1478,25.97,73,100,3.96,BR,1702176591
336,fort st. john,56.2499,-120.8529,-6.06,73,75,4.63,CA,1702176463
337,solnechnyy,50.7214,136.6319,-21.09,81,100,2.04,RU,1702176591
338,saldanha,-33.0117,17.9442,13.03,86,0,6.09,ZA,1702176401
339,belmonte,-15.8631,-38.8828,24.65,88,13,2.27,BR,1702176346
340,bentiu,9.2333,29.8333,22.95,28,37,2.22,SS,1702176591
341,san andres,12.5847,-81.7006,29.01,84,20,6.69,CO,1702176591
342,lata,40.1629,-8.3327,17.12,96,100,1.4,PT,1702176323
343,santo antonio do ica,-3.1022,-67.9397,24.1,97,100,0.75,BR,1702176591
344,lushun,38.8,121.2667,-2.88,51,100,13.93,CN,1702176591
345,gwadar,25.1216,62.3254,23.49,24,44,1.82,PK,1702176591
346,taltal,-25.4,-70.4833,17.14,85,25,1.18,CL,1702176342
347,chernigovka,44.3389,132.5728,-11.22,50,34,4.58,RU,1702176591
348,cloquet,46.7216,-92.4594,-1.74,88,100,6.69,US,1702176592
349,noumea,-22.2763,166.4572,29.99,99,100,9.76,NC,1702175822
350,alvorada,-12.48,-49.1247,29.27,33,64,2.16,BR,1702176592
351,laguna,38.421,-121.4238,10.6,76,0,1.54,US,1702176366
352,peniche,39.3558,-9.3811,17.28,96,100,3.69,PT,1702176113
353,fuglafjordur,62.244,-6.814,4.26,71,96,10.0,FO,1702176592
354,huicungo,-7.2833,-76.8,22.11,97,92,0.78,PE,1702176592
355,barroquinha,-3.0189,-41.1361,26.08,74,100,2.81,BR,1702176592
356,tadine,-21.55,167.8833,25.09,58,97,8.32,NC,1702176592
357,sydney,-33.8679,151.2073,28.76,80,75,7.72,AU,1702176091
358,bushehr,28.9684,50.8385,17.05,82,10,0.0,IR,1702176592
359,tchaourou,8.8865,2.5975,22.8,24,15,1.19,BJ,1702176592
360,at taj,24.2049,23.2857,12.44,39,1,1.96,LY,1702176592
361,aleksandrovsk,59.158,57.5624,-33.4,100,30,0.43,RU,1702176592
